,FeatureIdx,Count_Fibroblast(EdUScreen),Count_EdUPositive(EdUScreen),RatioEduPositive(EdUScreen),Mean_Mean_Cytoplasm_Intensity_IntegratedIntensity_CorrSMA,Mean_Macrophage_count,Nuclei_Count(aSMA),Cell_Count(aSMA)
1366,1903,8.789473684210527,4.894736842105263,0.5944261878472404,181.42558887039002,22.5,6.5,8.1
1367,1904,8.052631578947368,5.684210526315789,0.7576154839312733,161.75926881801857,27.625,8.5,7.833333333333332
1368,1905,8.894736842105264,5.473684210526316,0.6574641732536468,168.100852275824,21.857142857142854,8.0,8.8
1369,1906,10.0,5.57894736842105,0.5933503630872051,161.50787141343568,24.5,8.0,7.684210526315789
1370,1907,10.25,6.3,0.6491501513192689,163.20141015742868,25.0,8.0,9.789473684210526
1371,1908,9.3,5.45,0.6261006069094304,155.6402962553479,24.75,8.5,9.1
1372,1909,10.0,5.25,0.5740877096759449,150.68336357932714,25.125,8.5,9.55
1373,1910,10.25,5.0,0.5721621434121436,157.82263646952615,26.875,9.0,8.684210526315791
1374,1914,8.947368421052632,6.052631578947367,0.7268870706177207,178.50373808497773,19.25,7.5,8.8125
1375,1916,10.166666666666666,6.0,0.5970967628862366,185.3056699571732,16.125,8.0,9.888888888888891
1376,1917,11.777777777777779,5.388888888888888,0.4665809771201928,185.0695189320091,18.5,10.0,10.368421052631579
1377,1921,10.1,5.85,0.7312764319014319,160.21543912099116,20.75,9.5,8.944444444444445
1378,1924,8.947368421052632,5.947368421052633,0.6565447710184551,181.13986682120108,19.375,9.0,9.6
1379,1925,8.8,5.8,0.7412588228764699,164.03364782496698,20.0,10.0,10.2
1380,1926,9.052631578947368,5.2105263157894735,0.6123083057293585,173.03806256088984,17.875,8.0,8.75
1381,1927,8.947368421052632,5.789473684210527,0.7456754425937252,196.7219045210984,18.285714285714285,8.0,9.1
1382,1928,9.25,4.6,0.536329365079365,166.57373111497785,22.0,8.5,8.35
1383,1929,7.684210526315789,6.315789473684211,0.9718443836864892,180.84096300965766,19.25,8.0,8.3
1384,1930,8.555555555555555,6.222222222222222,0.7343958510625178,185.41030815596955,22.0,8.0,8.75
1385,1931,7.052631578947367,4.684210526315789,0.7526106934001672,179.90252399763168,21.75,7.0,7.95
1386,1932,8.15,5.3,0.674505772005772,166.39279380296728,29.25,8.5,8.888888888888891
1387,1933,9.411764705882351,4.882352941176472,0.566224719552893,171.99004692631962,18.625,9.0,9.05
1388,1934,8.055555555555555,5.666666666666668,0.8106859190192525,175.70433519402127,21.75,8.0,9.473684210526317
1389,1935,9.842105263157897,6.105263157894738,0.6990908214592424,166.30219836657568,21.125,9.0,9.473684210526317
1390,1936,10.210526315789474,5.7368421052631575,0.6298948127895495,179.8373065099947,22.375,7.0,8.473684210526315
1391,1937,9.631578947368421,4.894736842105263,0.5007860560492139,155.69492919201974,27.25,8.0,9.15
1392,1938,9.05,5.55,0.6719140581640581,172.7518076280846,23.875,7.0,8.052631578947368
1393,1939,8.75,6.15,0.6989470251970251,198.73548591123333,24.875,10.0,8.95
1394,1940,9.0,4.35,0.5394288472964943,153.3977043558567,25.625,9.0,9.2
1395,1941,9.75,5.75,0.6245876345876347,177.738208312401,23.375,9.0,9.7
1396,1942,9.05,5.35,0.6371202408702408,161.00277260979357,23.125,9.0,9.631578947368421
1397,1943,10.368421052631579,4.2631578947368425,0.4857032286598851,163.60961252982187,24.285714285714285,8.0,8.5
1398,1945,8.666666666666666,6.0,0.7452116402116401,190.4107469157404,21.0,8.5,9.611111111111109
1399,1951,9.65,5.3,0.5873682567432567,168.6628423474201,18.25,9.0,10.105263157894736
1400,1952,9.55,6.3,0.7044218281718282,177.9317662559664,20.25,8.0,8.666666666666666
